planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,ANTICIPATORY,30,2,892.1093540928628,942.1755077918309,120.0,0.207254074
HEURISTIC,ANTICIPATORY_ONCE,30,2,898.1569221988108,942.318235655577,120.0,0.156429238
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,2,2354.168199381604,1279.223171904619,120.0,0.118984799
MULTI_BOUND_G,MIXED_G,30,2,881.9512547082898,926.6855898501025,5805.0,7.992640173
HEURISTIC,LAZY,30,3,872.1922481867332,919.033059323345,120.0,0.11639437
HEURISTIC,DILIGENT,30,3,916.1385084731644,918.7087056041971,120.0,3.161784113
HEURISTIC,ANTICIPATORY,30,3,870.576456596314,919.033059323345,120.0,0.209847355
HEURISTIC,ANTICIPATORY_ONCE,30,3,872.1922481867332,919.033059323345,120.0,0.11434697
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,3,2584.357093061912,1018.3026617787439,120.0,0.123373916
MULTI_BOUND_G,MIXED_G,30,3,869.0947068244017,916.2016008717488,6488.0,10.160734663
HEURISTIC,LAZY,30,4,806.3024082492957,848.353063742538,120.0,0.119631361
HEURISTIC,DILIGENT,30,4,853.2350046812891,848.1500745549893,120.0,3.376321583
HEURISTIC,ANTICIPATORY,30,4,803.4368974293461,848.353063742538,120.0,0.206695964
HEURISTIC,ANTICIPATORY_ONCE,30,4,806.3024082492957,848.353063742538,120.0,0.119018124
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,4,2740.196588403904,1010.8022779287296,120.0,0.114964083
MULTI_BOUND_G,MIXED_G,30,4,806.4396558046285,848.1493501552363,5832.0,8.004175637
HEURISTIC,LAZY,30,5,801.2144808632213,843.3765950992132,120.0,0.114337346
HEURISTIC,DILIGENT,30,5,865.6195294476452,867.7289570866037,120.0,3.505806128
HEURISTIC,ANTICIPATORY,30,5,800.9081122653506,843.3765950992132,120.0,0.206364205
HEURISTIC,ANTICIPATORY_ONCE,30,5,801.2144808632213,843.3765950992132,120.0,0.114246178
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,5,1785.6098788257286,1031.943251592984,120.0,0.114149934
MULTI_BOUND_G,MIXED_G,30,5,800.0961681501726,843.5839731134952,5816.0,7.744955959
HEURISTIC,LAZY,30,6,823.962226981286,869.1393220917275,120.0,0.128911473
HEURISTIC,DILIGENT,30,6,839.917816690824,842.7685997935747,120.0,3.349099804
HEURISTIC,ANTICIPATORY,30,6,826.8334370264997,869.1393220917275,120.0,0.209229337
HEURISTIC,ANTICIPATORY_ONCE,30,6,823.962226981286,869.1393220917275,120.0,0.115441748
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,6,1899.0337405887922,994.938777772524,120.0,0.115172598
MULTI_BOUND_G,MIXED_G,30,6,804.977428172655,851.2563162946354,5808.0,7.652063996
HEURISTIC,LAZY,30,7,947.6519531770172,989.7777084962812,120.0,0.117067019
HEURISTIC,DILIGENT,30,7,980.4351867207338,978.8718914806582,120.0,3.881472031
HEURISTIC,ANTICIPATORY,30,7,948.5285920395895,992.4860969654173,120.0,0.207474049
HEURISTIC,ANTICIPATORY_ONCE,30,7,947.6519531770172,989.7777084962812,120.0,0.114894737
