planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
MULTI_BOUND_G,MIXED_G,200,1,5251.65241316037,5585.079818218024,6772,72.289835765
HEURISTIC,LAZY,200,2,5225.398904390124,5578.544243123892,800,6.066367785
HEURISTIC,DILIGENT,200,2,5624.404376348104,5645.2196312095575,800,166.065369016
HEURISTIC,ANTICIPATORY,200,2,4990.900863813526,5995.434933850412,800,138.200813744
HEURISTIC,ANTICIPATORY_ONCE,200,2,5225.398904390124,5578.544243123892,800,6.481955689
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,200,2,5028.531489309684,5851.05639001558,800,6.358872751
MULTI_BOUND_G,MIXED_G,200,2,5225.125709168454,5578.570387148084,8013,100.764152369
HEURISTIC,LAZY,250,0,6448.400904474944,6881.728580579252,1000,11.09273654
HEURISTIC,DILIGENT,250,0,6866.387151527997,6880.959198827603,1000,267.739242233
HEURISTIC,ANTICIPATORY,250,0,6412.974950742545,7409.986885474795,1000,272.824672234
HEURISTIC,ANTICIPATORY_ONCE,250,0,6448.400904474944,6881.728580579252,1000,13.368185099
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,250,0,6425.322921774345,7284.430760000476,1000,11.735278832
MULTI_BOUND_G,MIXED_G,250,0,6431.81925159184,6867.489452807339,6808,97.868169371
HEURISTIC,LAZY,250,1,6609.105951120095,7068.493216022837,1000,9.681351258
HEURISTIC,DILIGENT,250,1,6961.8277221938915,6993.432508678751,1000,277.867698459
HEURISTIC,ANTICIPATORY,250,1,6808.516137700561,7580.392409795815,1000,269.024654421
HEURISTIC,ANTICIPATORY_ONCE,250,1,6609.105951120095,7068.493216022837,1000,10.052901601
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,250,1,6617.071413577941,7352.695697119632,1000,10.081071111
MULTI_BOUND_G,MIXED_G,250,1,6607.859546977068,7067.5337381428935,7540,103.984125585
HEURISTIC,LAZY,250,2,6149.9976511534005,6599.418642935995,1000,9.037169872
HEURISTIC,DILIGENT,250,2,6587.969361473333,6600.502440339111,1000,245.371368802
HEURISTIC,ANTICIPATORY,250,2,5960.426146852501,7028.442634580759,1000,272.975968758
HEURISTIC,ANTICIPATORY_ONCE,250,2,6149.9976511534005,6599.418642935995,1000,10.375992031
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,250,2,5915.687027533383,6876.486744936304,1000,10.659868292
MULTI_BOUND_G,MIXED_G,250,2,6133.840665802427,6580.755389671936,7332,97.476670182
HEURISTIC,LAZY,300,0,7471.691491324514,8058.670418745526,1200,13.401533303
HEURISTIC,DILIGENT,300,0,7993.3419113117425,8009.751958102077,1200,364.307837244
HEURISTIC,ANTICIPATORY,300,0,7371.3558946440435,8650.674090335055,1200,499.897021505
HEURISTIC,ANTICIPATORY_ONCE,300,0,7471.691491324514,8058.670418745526,1200,17.66103801
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,300,0,7145.229436642376,8287.57132254577,1200,18.966644688
MULTI_BOUND_G,MIXED_G,300,0,7461.995165985621,8050.481504769689,8192,175.465038071
HEURISTIC,LAZY,300,1,7939.114430458632,8527.306831568454,1200,12.857959983
